sitename,date,ecoli_value (MPN/100mL)
Foxton Loop at Harbour St Boat Ramp,2022-01-25 00:00:00,109
Foxton Loop at Harbour St Boat Ramp,2022-02-01 00:00:00,331
Foxton Loop at Harbour St Boat Ramp,2022-02-08 00:00:00,882
Foxton Loop at Harbour St Boat Ramp,2022-02-15 00:00:00,410
Foxton Loop at Harbour St Boat Ramp,2022-02-22 00:00:00,132
Foxton Loop at Harbour St Boat Ramp,2022-03-01 00:00:00,813
Foxton Loop at Harbour St Boat Ramp,2022-03-08 00:00:00,187
Foxton Loop at Harbour St Boat Ramp,2022-03-15 00:00:00,432
Foxton Loop at Harbour St Boat Ramp,2022-03-22 00:00:00,102
Foxton Loop at Harbour St Boat Ramp,2022-03-29 00:00:00,428
Foxton Loop at Harbour St Boat Ramp,2022-04-05 00:00:00,122
Foxton Loop at Harbour St Boat Ramp,2022-04-12 00:00:00,243
Foxton Loop at Harbour St Boat Ramp,2022-04-20 00:00:00,146
Foxton Loop at Harbour St Boat Ramp,2022-04-27 00:00:00,160
Foxton Loop at Harbour St Boat Ramp,2022-11-01 00:00:00,203
Foxton Loop at Harbour St Boat Ramp,2022-11-07 00:00:00,379
Foxton Loop at Harbour St Boat Ramp,2022-11-14 00:00:00,6870
Foxton Loop at Harbour St Boat Ramp,2022-11-21 00:00:00,697
Foxton Loop at Harbour St Boat Ramp,2022-11-28 00:00:00,546
Foxton Loop at Harbour St Boat Ramp,2022-12-05 00:00:00,228
Foxton Loop at Harbour St Boat Ramp,2022-12-12 00:00:00,265
Foxton Loop at Harbour St Boat Ramp,2022-12-19 00:00:00,364
Foxton Loop at Harbour St Boat Ramp,2022-12-26 00:00:00,573
Foxton Loop at Harbour St Boat Ramp,2023-01-02 00:00:00,135
Foxton Loop at Harbour St Boat Ramp,2023-01-09 00:00:00,148
Foxton Loop at Harbour St Boat Ramp,2023-01-16 00:00:00,98
Foxton Loop at Harbour St Boat Ramp,2023-01-24 00:00:00,158
